rowID_P1,responseId_P1,duration_P1,startTime_P1,NAcount_P1,age,female,male,americanIndian,asian,black,latinx,pacificIslander,white,other,state,region,edu,edu_n,inc,poli_n,voteD,voteR,id_environmentalistP1,id_exaggeratedCrisisP1,id_spaceshipP1,id_ecoCatastropheP1,id_natureStrongerP1,id_humansAbusingEnviroP1,idIndexP1,pw_watchReadP1,pw_shareP1,pw_socialMediaConvoP1,pw_participateConvoP1,pw_startConvoP1,pwConverseIndexP1,pw_recycleP1,pw_lightsOffP1,pw_compostP1,pw_avoidMeatP1,pw_productImpactP1,pw_altTransportationP1,pw_reduceWaterP1,pw_reusableBottleP1,pw_washColdP1,pw_hangDryP1,pw_reusableBagsP1,pw_useDisposableProductsP1,pw_useKeurigP1,pw_usePlasticWaterP1,pwPEBsIndexP1,cc_SeriousnessP1,cc_HarmTimeP1,cc_PersonalHarmP1,ccIndexP1,cc_CauseP1,cc_CauseP1_n,wg_goodP1,wg_positiveP1,warmGlowIndexP1,intent_watchReadP1,intent_shareP1,intent_socialMediaConvoP1,intent_participateConvoP1,intent_startConvoP1,intentConverseIndexP1,intent_recycleP1,intent_lightsOffP1,intent_compostP1,intent_avoidMeatP1,intent_productImpactP1,intent_altTransportationP1,intent_reduceWaterP1,intent_reusableBottleP1,intent_washColdP1,intent_hangDryP1,intent_reusableBagsP1,intent_useDisposableProductsP1,intent_useKeurigP1,intent_usePlasticWaterP1,intentPEBsIndexP1,treatment,task,taskSpaced,wordCount,charity,taskTime,rowID_P2,responseId_P2,duration_P2,startTime_P2,NAcount_P2,id_environmentalistP2,id_exaggeratedCrisisP2,id_spaceshipP2,id_ecoCatastropheP2,id_natureStrongerP2,id_humansAbusingEnviroP2,idIndexP2,pw_watchReadP2,pw_shareP2,pw_socialMediaConvoP2,pw_participateConvoP2,pw_startConvoP2,pwConverseIndexP2,pw_recycleP2,pw_lightsOffP2,pw_compostP2,pw_avoidMeatP2,pw_productImpactP2,pw_altTransportationP2,pw_reduceWaterP2,pw_reusableBottleP2,pw_washColdP2,pw_hangDryP2,pw_reusableBagsP2,pw_useDisposableProductsP2,pw_useKeurigP2,pw_usePlasticWaterP2,pwPEBsIndexP2,cc_SeriousnessP2,cc_HarmTimeP2,cc_PersonalHarmP2,ccIndexP2,cc_CauseP2,cc_CauseP2_n,wg_goodP2,wg_positiveP2,warmGlowIndexP2,intent_watchReadP2,intent_shareP2,intent_socialMediaConvoP2,intent_participateConvoP2,intent_startConvoP2,intentConverseIndexP2,intent_recycleP2,intent_lightsOffP2,intent_compostP2,intent_avoidMeatP2,intent_productImpactP2,intent_altTransportationP2,intent_reduceWaterP2,intent_reusableBottleP2,intent_washColdP2,intent_hangDryP2,intent_reusableBagsP2,intent_useDisposableProductsP2,intent_useKeurigP2,intent_usePlasticWaterP2,intentPEBsIndexP2
85,R_1igI8S1InZPqmgZ,17.833333333333332,10/2/19 13:30,0,43,0,1,0,0,1,0,0,0,0,Georgia,South,Associates degree,3,62.5,2,1,0,6,7,5,7,7,7,0.6741857240726893,3,1,2,2,2,0.13951485635033953,2,5,1,4,2,1,5,4,4,2,5,2,5,2,0.03575984584261623,4,4,3,1.9046564400549733,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,7,1.6492795615012592,5,5,5,5,5,1.2765239896629301,5,5,4,5,5,1,5,5,5,5,5,1,1,1,0.5089634201126587,intrinsic,"romeo, mercutio, lady, day, house, laurence, love, good, tell, heaven, know, alone, like, exeunt, blood, shall, will, capulet, now, paris, give, must, true, come. juliet, complete, dead, sir, death, act, live, sweet, tears, face, well, talk, mine, hear, young, happy, bed, father, ever, every, husband, never, daughter, first, Thursday, hast, hands, best, none, montague, take come, nurse hath, married, slain, gregory, nothing, beauty, straight, many, gentle, forth, head, breath, dream, tonight, made, marry, sleep, shower, show, stay, exit, soon, eyes, loves, hither, earth, comes, keep, say, may, see, old, hand, tell, ffarewell,  haste, tears, twenty, mother, hast, back, tomorrow,",romeo  mercutio  lady  day  house  laurence  love  good  tell  heaven  know  alone  like  exeunt  blood  shall  will  capulet  now  paris  give  must  true  come. juliet  complete  dead  sir  death  act  live  sweet  tears  face  well  talk  mine  hear  young  happy  bed  father  ever  every  husband  never  daughter  first  Thursday  hast  hands  best  none  montague  take come  nurse hath  married  slain  gregory  nothing  beauty  straight  many  gentle  forth  head  breath  dream  tonight  made  marry  sleep  shower  show  stay  exit  soon  eyes  loves  hither  earth  comes  keep  say  may  see  old  hand  tell  ffarewell   haste  tears  twenty  mother  hast  back  tomorrow ,99,Environmental Defense Fund,5.0004,61,R_1OqPUeZSET4vXui,17.8,2019-10-09 12:09:38,0,6,5,6,6,7,6,0.40745995424620673,3,2,2,2,1,0.09126734389302095,2,5,2,4,4,1,5,5,5,4,5,4,4,1,0.2509065353994808,4,4,4,2.776375813883019,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,7,1.6695415869720311,5,5,5,5,3,1.0517099767579352,4,5,4,4,5,1,5,5,5,5,5,1,1,1,0.38949487388692733
86,R_8tR9du2v8CIsTol,6.15,10/2/19 13:42,0,21,0,1,0,0,1,0,0,0,0,New Jersey,Northeast,High school diploma or equivalent,2,12.5,2,1,0,4,7,7,7,6,7,0.5723601665222725,2,1,1,1,1,-0.678048333354134,1,5,1,1,5,1,1,5,0,5,5,4,5,5,-0.1596405972423772,4,3,4,1.81947875508108,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,1,1,-6.939339072143271,1,1,1,1,1,-1.720395189051487,1,5,1,1,1,1,1,1,1,1,1,5,5,5,-1.2063610889177525,extrinsic,"come, nurse, juliet, death, sir, romeo, capulet, think, prince, good, tybalt, love, laurence, benvolio, lady, day, night, mercutio, now, paris, must, light, married, poison, well, like, will, shall, let, doth, montague, tell, heaven, young, know, alone, tongue, shame, farewell",come  nurse  juliet  death  sir  romeo  capulet  think  prince  good  tybalt  love  laurence  benvolio  lady  day  night  mercutio  now  paris  must  light  married  poison  well  like  will  shall  let  doth  montague  tell  heaven  young  know  alone  tongue  shame  farewell,39,Environmental Defense Fund,2.0529166666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,R_Ti7QefloS6PGdHz,5.216666666666667,10/2/19 13:45,0,25,0,1,0,0,0,0,0,1,0,Maryland,South,Bachelor's degree,5,200,2,1,0,7,7,7,7,6,7,0.9021603644235473,2,1,1,1,1,-0.678048333354134,5,5,1,1,1,1,2,5,5,1,1,5,5,4,-0.23852920333872346,4,4,4,2.8830276443883776,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,6,6,0.21784312256050406,3,1,1,1,2,-1.244812231712274,5,5,1,1,2,1,2,5,5,1,1,5,5,5,-0.5265868380989639,extrinsic,"beauty, nothing, gregory, slain, poison, married, ladies, give, grave, paris, now, juliet, romeo, capulet, tybalt, good, love, will, shall, doth, montague, heaven, young, know, mine, hear, sweet, laurence, face, banished, never, therefore, mistress, daughter, hand, world, madam, thursday, bring, twenty, know, alone, tongue, shame, warrant, farewell, happy",beauty  nothing  gregory  slain  poison  married  ladies  give  grave  paris  now  juliet  romeo  capulet  tybalt  good  love  will  shall  doth  montague  heaven  young  know  mine  hear  sweet  laurence  face  banished  never  therefore  mistress  daughter  hand  world  madam  thursday  bring  twenty  know  alone  tongue  shame  warrant  farewell  happy,47,Environmental Defense Fund,1.0923166666666666,92,R_3sgH8y2bw4idjOv,2.6,2019-10-09 12:41:15,0,6,7,7,7,7,7,0.8909616557357637,2,1,1,1,1,-0.7690214606209745,5,5,1,1,1,1,4,5,5,1,1,5,5,4,-0.22040237166471582,4,4,4,2.776375813883019,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,5,5,-1.0461167510724536,3,1,1,1,1,-1.2959079220638314,5,5,1,1,2,1,4,5,5,1,1,5,5,5,-0.4329787222613916
88,R_2taEo47VUk0BPUZ,18.666666666666668,10/2/19 13:32,0,35,1,0,0,0,0,0,0,1,0,Nevada,West,Bachelor's degree,5,32.5,2,1,0,6,5,5,5,5,6,-0.006236315474772763,1,1,1,1,1,-0.8808374967070594,5,5,1,2,2,3,2,4,3,5,2,5,5,4,-0.06887549097487335,3,3,2,-1.2738978016706648,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,6,6,0.21784312256050406,4,4,3,4,4,0.3849947371230177,5,5,3,3,4,3,5,5,4,5,5,4,5,4,0.5049427196192215,intrinsic,"day, come, nurse, juliet, romeo, will, love, good, tybalt, capulet, death, sir, complete, make, dead, might, lady, house, blood, never, name, mercuito, must, enter, married, give, paris, grave, speak, hath, like, well, face, young, heaven, doth, think, prince, god, word, lord, earth, friar, men, life, man, stay, take, head, breath, dream, thursday, daughter, therefore, banished, shame, fare",day  come  nurse  juliet  romeo  will  love  good  tybalt  capulet  death  sir  complete  make  dead  might  lady  house  blood  never  name  mercuito  must  enter  married  give  paris  grave  speak  hath  like  well  face  young  heaven  doth  think  prince  god  word  lord  earth  friar  men  life  man  stay  take  head  breath  dream  thursday  daughter  therefore  banished  shame  fare,57,Environmental Defense Fund,5.000216666666666,405,R_11ddvYF2uSeuU2H,9.416666666666666,2019-10-12 14:57:03,0,6,6,5,4,3,5,-0.3016233049466438,2,1,1,1,1,-0.7690214606209745,5,5,1,3,2,3,4,3,3,5,5,4,5,3,0.029475914953690507,3,3,3,-0.39613730797164787,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,6,6,0.31171241794978877,4,2,3,2,2,-0.4098672086346053,5,5,3,4,4,5,5,5,4,5,5,4,5,4,0.41599212649184786
89,R_2xXFK319TZD5ITI,15.716666666666667,10/2/19 13:35,0,41,0,1,0,0,0,0,0,1,0,Ohio,Midwest,Associates degree,3,32.5,1,1,0,7,6,6,7,5,6,0.5005176299127396,4,2,4,3,3,1.3873378141543524,1,4,3,2,3,1,3,5,5,1,4,3,5,3,0.29718502678072517,3,4,4,1.7463934963034413,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,7,1.6492795615012592,5,4,5,5,5,1.1330218086668706,2,5,3,2,5,3,4,4,5,1,5,2,5,1,0.22830859921441587,control,"come, hath,love, good, heaven, alone, must, beauty,peter,nothing,married,slain,fight, gregory, marry, take, speak, dream, tonight,lady,house,blood,therefore,banished, gentle,forth,mistress, heavy,day, scene,laurence,face,well,like,talk, black, tybalt,good,kinsman part, bear, art,fair,dear,help, capulet, tell, musician, desperate, loves,hither,hold,whose,death,sir,dead, keep, doth, time,friar,man,exit,eyes,flower, upon,none,child,like,fall,soul,act away,said,call,wit,one,thing,much,romeo,juliet, say,may,old,think,art,nay,lips,soon,simpson,sleep,mean,law,pray,leave,letter,ever,madam",come  hath love  good  heaven  alone  must  beauty peter nothing married slain fight  gregory  marry  take  speak  dream  tonight lady house blood therefore banished  gentle forth mistress  heavy day  scene laurence face well like talk  black  tybalt good kinsman part  bear  art fair dear help  capulet  tell  musician  desperate  loves hither hold whose death sir dead  keep  doth  time friar man exit eyes flower  upon none child like fall soul act away said call wit one thing much romeo juliet  say may old think art nay lips soon simpson sleep mean law pray leave letter ever madam,97,NA,4.288783333333333,160,R_2VD7AfL5QTj581V,33.55,2019-10-10 06:25:00,0,7,4,6,6,2,6,-0.013961399722913338,4,2,5,2,3,1.3661228580041591,3,4,3,2,4,3,3,4,5,1,4,2,5,3,0.378963318371295,4,3,3,0.7017444683813342,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,4,4,-2.4039459200946958,4,3,4,3,4,0.32476260800281626,1,5,2,2,4,5,5,5,5,1,4,5,5,4,0.23841551976796435
90,R_eDTnwqa60UxSHCx,21.066666666666666,10/2/19 13:30,0,31,0,1,0,0,0,0,0,1,0,Michigan,Midwest,Bachelor's degree,5,87.5,-2,0,1,7,3,5,5,3,6,-0.2395170148802378,1,1,1,1,1,-0.8808374967070594,4,5,4,1,3,3,4,4,1,3,5,3,2,2,-0.22182060712015922,2,3,2,-2.410531949755601,The Earth is getting warmer mostly because of natural patterns in the Earth’s environment,2,5,4,-1.9184535755090462,1,1,1,1,1,-1.720395189051487,3,1,3,2,3,3,3,3,1,4,2,3,5,3,-0.9392048744536958,intrinsic,"take,sleep,beauty,peter,sraight,twenty,therefore,laurence,face,well,like,good,mine,know,young,alone,warrant,farewell,will,let,shall,cell,father,god,bed,nurse,escalus,thursday,comes,hold,holy,exuent,mother,mercutio,juliet,dead,fair,can,one,much,art,time,comes,earth,servant",take sleep beauty peter sraight twenty therefore laurence face well like good mine know young alone warrant farewell will let shall cell father god bed nurse escalus thursday comes hold holy exuent mother mercutio juliet dead fair can one much art time comes earth servant,45,Sierra Club - Vermont Chapter,5.028383333333333,63,R_12uaXgKcL7kFoPV,5.233333333333333,2019-10-09 12:23:11,0,3,4,5,5,5,5,-0.4949630709188597,2,1,2,1,2,-0.34670531347720973,1,3,1,1,1,1,1,4,1,3,4,5,3,5,-0.5180175229923487,2,0,2,-2.488082147371925,There is no solid evidence that the Earth is getting warmer,1,5,5,-1.0461167510724536,1,1,1,1,1,-1.6155157728049747,1,4,3,1,4,1,4,4,1,4,3,5,3,5,-0.6735503769844616
91,R_3Hwf2DFUatFvnEe,31.833333333333332,10/2/19 13:19,0,30,0,1,0,0,1,0,0,0,0,Missouri,Midwest,Bachelor's degree,5,32.5,-2,0,1,7,2,7,6,1,7,-0.0611844813592454,3,3,5,2,4,1.614915620347828,4,5,5,3,5,4,5,5,3,4,4,2,2,3,0.7945198200147815,3,4,4,1.7463934963034413,The Earth is getting warmer mostly because of natural patterns in the Earth’s environment,2,7,6,0.9444193023724641,5,3,5,4,4,0.6857986060342809,4,4,5,5,5,4,5,5,4,5,3,1,2,1,0.3117365449653695,extrinsic,"juliet,romeo,death,sir,dead,may,benvolio,love,good,tybalt,laurence,well,like,paris,mercutio,hath,nurse,friar,complete,enter,man,yet,must,true,married,nothing,light,bed,father,comes,servant,see,upon,act,lady,day,blood,back,never,face,speak,marry,stay,exit,",juliet romeo death sir dead may benvolio love good tybalt laurence well like paris mercutio hath nurse friar complete enter man yet must true married nothing light bed father comes servant see upon act lady day blood back never face speak marry stay exit ,44,The Vermont Historical Society,5.00135,80,R_6FkgxkCl1UzjU4N,7.066666666666666,2019-10-09 12:30:01,0,7,2,7,5,1,6,-0.2628417453524523,2,2,3,2,3,0.5056764183569421,3,4,5,4,4,4,4,4,5,5,3,3,2,1,0.3293209809546203,4,4,4,2.776375813883019,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,6,0.9949499336364073,4,5,5,4,3,0.7459889654004888,4,5,4,4,3,4,5,5,5,5,4,2,1,1,0.32095208734265346
92,R_cH1jsw7KENtRY5P,37.5,10/2/19 13:14,0,25,0,1,0,0,0,1,0,0,0,New York,Northeast,Bachelor's degree,5,32.5,2,1,0,3,7,5,7,5,6,0.040091496057139527,2,2,2,2,2,0.16409036266003016,4,4,2,1,3,4,2,4,3,4,4,4,2,4,0.058028584490180515,4,2,2,-1.200812542893026,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,7,1.6492795615012592,5,5,5,5,5,1.2765239896629301,5,5,5,4,5,5,5,5,5,5,5,1,1,1,0.640561086305073,intrinsic,"night, must, complete, death, may, old, young, banished, many, light, hath, give, head, speak, servant, now, lady, first, find, Thursday, mistress, twenty, love, never, mother, tears, name, therefore, alone, can, one, come, man, yet, exit, eyes, earth, musician, farewell, doth, hence, father, every, desperate, god, lord, word, sir, say, put, nurse, enter, art, gone, holy, wilt, son, upon, away, said, marry, sampson, loves, hither, flower,",night  must  complete  death  may  old  young  banished  many  light  hath  give  head  speak  servant  now  lady  first  find  Thursday  mistress  twenty  love  never  mother  tears  name  therefore  alone  can  one  come  man  yet  exit  eyes  earth  musician  farewell  doth  hence  father  every  desperate  god  lord  word  sir  say  put  nurse  enter  art  gone  holy  wilt  son  upon  away  said  marry  sampson  loves  hither  flower ,65,Environmental Defense Fund,5.000299999999999,108,R_vwaz6YdJOksnkat,23.2,2019-10-09 12:32:15,0,3,7,5,6,5,5,-0.15675539324869248,3,3,3,3,3,1.1509866899256764,5,5,5,1,4,3,2,2,4,4,3,3,1,2,0.26050766284132587,4,2,3,-0.3360290306095159,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,6,7,0.9863040712854125,5,5,5,5,5,1.3552130495809562,5,5,5,2,5,5,4,5,4,5,5,1,1,1,0.5241840239406433
93,R_w7U7mddzYuBgbDP,14.883333333333333,10/2/19 13:37,0,39,1,0,0,0,0,0,0,1,0,Maryland,South,High school diploma or equivalent,2,87.5,-1,0,1,5,2,2,2,2,7,-1.130671744140078,2,1,1,3,3,0.1457095224751156,5,4,5,1,1,1,1,5,5,4,2,5,5,5,0.1894299341144637,3,2,2,-2.3374466909779623,The Earth is getting warmer mostly because of natural patterns in the Earth’s environment,2,5,5,-1.213593316380251,4,1,2,2,4,-0.48291592905992853,5,4,5,1,4,2,2,5,5,5,4,5,5,5,0.1038852832770243,control,"romeo, juliet, will, love, shall, capulet, tybalt, good, sir, death, say, dead, night, lady, day mercutio, may sweet, tell, doth, montague, know, mine, hear, face, like, talk, laurence, name, tears, back, hast, find, house, first, blood, mother, man, men, dear, exit, eyes, word, lord, comes, light, peter, made, married, slain, gregory, nothing, grave, ladies, tonight, head, breath, dream, tonight, servant, heart, part, come, nurse, art, friar, complete, yet, now, paris, hath, can, one, much, bid, call, wit, said, news, stand, bed, father, hence, pray, ever, letter, within, husband, hold, whose, send, desperate, loves, hither, cousin, killed, wife, hear, poor, look, lies, fear, early, sun, put, rest, mad, long, upon, son, foot, haste, watch, daughter, thursday, though, dream, hands, fast, alone, warrant, shame, heaven, tongue, loves, qu",romeo  juliet  will  love  shall  capulet  tybalt  good  sir  death  say  dead  night  lady  day mercutio  may sweet  tell  doth  montague  know  mine  hear  face  like  talk  laurence  name  tears  back  hast  find  house  first  blood  mother  man  men  dear  exit  eyes  word  lord  comes  light  peter  made  married  slain  gregory  nothing  grave  ladies  tonight  head  breath  dream  tonight  servant  heart  part  come  nurse  art  friar  complete  yet  now  paris  hath  can  one  much  bid  call  wit  said  news  stand  bed  father  hence  pray  ever  letter  within  husband  hold  whose  send  desperate  loves  hither  cousin  killed  wife  hear  poor  look  lies  fear  early  sun  put  rest  mad  long  upon  son  foot  haste  watch  daughter  thursday  though  dream  hands  fast  alone  warrant  shame  heaven  tongue  loves  qu,126,NA,5.0032499999999995,158,R_300p8QDocaW2r9Y,7.366666666666666,2019-10-10 05:01:13,0,2,2,2,5,2,6,-1.2054802005585445,1,1,2,2,1,-0.5587106331128888,5,4,5,1,2,1,2,5,5,4,2,5,5,5,0.047325240365544495,2,2,2,-3.568650429826315,The Earth is getting warmer mostly because of natural patterns in the Earth’s environment,2,5,5,-1.0461167510724536,4,1,2,4,4,-0.09973962166536082,5,4,5,1,2,2,2,5,5,5,4,5,5,5,0.13045827499292928
94,R_3plrigRlBwIYd2F,9.15,10/2/19 13:43,0,22,0,1,0,1,0,0,0,0,0,Massachusetts,Northeast,Bachelor's degree,5,32.5,1,1,0,5,5,6,5,5,6,-0.012722772422771523,1,2,1,1,1,-0.6534728270444433,3,4,1,1,2,1,2,3,1,1,2,4,5,4,-0.5303626982373718,3,2,3,-1.359075486644558,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,6,6,0.21784312256050406,4,2,3,3,3,-0.2057306465056316,4,5,2,2,4,2,4,4,3,2,2,2,4,4,-0.22569010328346448,intrinsic,"nurse, come, man, beauty, peter, nothing, servant, hast, first, exeunt, like, well, face, tell, heaven, face, good, heaven, young, farewell",nurse  come  man  beauty  peter  nothing  servant  hast  first  exeunt  like  well  face  tell  heaven  face  good  heaven  young  farewell,20,Environmental Defense Fund,1.2237666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,R_2dMWmrFPwYD9eNy,19.366666666666667,10/2/19 13:34,0,33,0,1,0,0,0,0,0,1,0,Oregon,West,Bachelor's degree,5,62.5,2,1,0,7,7,4,6,7,7,0.5753625820026202,2,1,1,1,1,-0.678048333354134,5,5,4,4,3,2,4,5,4,1,5,5,5,5,0.3139608366798435,4,4,3,1.9046564400549733,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,6,7,0.9227033816892992,4,3,2,3,3,-0.2045279233708804,5,5,5,4,4,3,4,5,5,2,5,5,5,5,0.41283072015044225,extrinsic,"beauty, nothing, straight, gregory, poison, married, gentle, place, head, breath, dream, speak, tonight, servant, now, paris, give, grave, slain, light, lives, made, peter, must, marry, sleep, take, enter, true, take, come, nurse, art, wife, juliet, look, time, friar, man, sampson, stay, flower, dear, yet, eyes, friend, help, long, sir, death, dead, keep, comes, earth, balthasar, musician, hither, loves, kinsman, indeed, fortune, desperate, hold, whose, send, lord, word, god, make, death, bed, letter, ever, father, quarrel, hence, old, every, leave, whose, prince, think, clouds, peace, world, hand, capulet, doth, montague, heaven, young, madam, meet, done, farewell, alone, tongue, shame, tomb, thine, tybalt, good, mine, hear, will, love, wilt, child, act, joy, hands, well, like, talk, black, laurence, haste, shall, upon, romeo, can, one, much, eye, makes, lie, set, calls, bid, call, wit, live, dost, shall, benvolio, tears, name, escalus, lady, day, back, hast, exenut, mantua, holy, gone, house, blood, mother, never, banished, therefore, bring, twenty, daughter, mistress,",beauty  nothing  straight  gregory  poison  married  gentle  place  head  breath  dream  speak  tonight  servant  now  paris  give  grave  slain  light  lives  made  peter  must  marry  sleep  take  enter  true  take  come  nurse  art  wife  juliet  look  time  friar  man  sampson  stay  flower  dear  yet  eyes  friend  help  long  sir  death  dead  keep  comes  earth  balthasar  musician  hither  loves  kinsman  indeed  fortune  desperate  hold  whose  send  lord  word  god  make  death  bed  letter  ever  father  quarrel  hence  old  every  leave  whose  prince  think  clouds  peace  world  hand  capulet  doth  montague  heaven  young  madam  meet  done  farewell  alone  tongue  shame  tomb  thine  tybalt  good  mine  hear  will  love  wilt  child  act  joy  hands  well  like  talk  black  laurence  haste  shall  upon  romeo  can  one  much  eye  makes  lie  set  calls  bid  call  wit  live  dost  shall  benvolio  tears  name  escalus  lady  day  back  hast  exenut  mantua  holy  gone  house  blood  mother  never  banished  therefore  bring  twenty  daughter  mistress ,156,Environmental Defense Fund,5.0003166666666665,69,R_1FtXNK1j6eGmZPk,8.1,2019-10-09 12:23:29,0,6,7,4,7,6,7,0.49976799098707086,3,1,1,1,1,-0.5537767737426272,5,4,3,4,3,2,5,5,5,1,5,5,5,5,0.295722496088098,4,4,3,1.7395179673721841,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,6,0.9949499336364073,4,2,2,3,3,-0.25555709406896354,5,5,4,4,4,3,5,5,4,2,5,5,5,5,0.3928329468347732
96,R_2cqDweEeTtCEFPX,13.416666666666666,10/2/19 13:40,0,24,0,1,0,0,1,0,0,0,0,Illinois,Midwest,Bachelor's degree,5,32.5,-2,0,1,2,2,1,6,3,3,-1.5601828158888345,3,3,4,3,5,1.8238994498255294,1,3,1,1,2,2,4,1,4,2,2,3,5,3,0.07895101745053217,2,1,4,-2.580887319703387,There is no solid evidence that the Earth is getting warmer,1,2,3,-4.803042374073722,3,4,4,4,3,0.21141837182981912,5,5,5,4,3,5,4,4,4,1,4,4,3,1,0.16171855931278226,intrinsic,"nurse, hath, paris, night, lady, day, house,blood,married,grave,give,now,peter,nothing, breath, head, place, firth, gentle, straight, beauty, tears, laurence, face, well, like, talk, black, good, mine, capulet, say, may, old, complete, fair, dear, help, long, fair, friar, yet, man, men, sampson, soon, exit, eyes, loves, kinsman, musician, word, god, ever, within, letter, ever, hence, old, think, prince, peace, world, madam, montague, heaven, young, farewell, alone know",nurse  hath  paris  night  lady  day  house blood married grave give now peter nothing  breath  head  place  firth  gentle  straight  beauty  tears  laurence  face  well  like  talk  black  good  mine  capulet  say  may  old  complete  fair  dear  help  long  fair  friar  yet  man  men  sampson  soon  exit  eyes  loves  kinsman  musician  word  god  ever  within  letter  ever  hence  old  think  prince  peace  world  madam  montague  heaven  young  farewell  alone know,70,Sierra Club - Vermont Chapter,3.3338166666666664,316,R_2dQ3exrK7k7UgbP,17.683333333333334,2019-10-10 14:24:42,0,7,3,5,5,5,7,0.09729562763964478,2,3,3,3,4,1.1430796172458328,5,5,5,3,2,3,4,2,2,3,2,1,3,3,0.2392227685552234,3,4,2,-0.3952216554916327,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,6,5,-0.36287923538583505,2,4,4,3,5,0.29875744366796597,3,3,5,4,5,3,5,5,3,4,4,2,3,3,0.16027104484509286
97,R_3MfzHsNqUGjcAzN,10.383333333333333,10/2/19 13:44,0,37,0,1,0,0,0,0,0,1,0,Texas,South,Bachelor's degree,5,125,NA,NA,NA,3,3,3,2,4,3,-1.4929868786028833,1,1,1,1,1,-0.8808374967070594,3,2,1,1,1,1,1,1,1,1,1,4,5,5,-0.8567991802403088,1,1,1,-6.652635080788536,I don't know,0,4,2,-4.0547502735785965,1,1,1,1,1,-1.720395189051487,4,1,1,1,1,1,1,1,1,1,1,4,5,4,-1.3900161388919374,control,"romeo,juliet,must,come,nurse,complete,capulet,tybalt,good,love,laurence,know,young,heaven,man,men,dear,now,paris,night,back,servant,speak,nothing,yet,every,lord,word,may,bed,father,face,like,mine,hear,alone,doth,cell,let,poor,heart,part,head,breath,dream,married,beauty,light,made,marry,sleep,stay,sampson,soon,flower,eyes,loves,kinsman,hither,earth,hold,dream,hast,exeunt,holy,woe,bid,call,wit,lie,life,son,act,kill,wilt,none,talk,black,thought,escalus,scene,heavy,years,villian,look,sun,dead,stand,prince,thine,wilt,hour,little,two,lies,mantus,blood,thursday,banished,ther",romeo juliet must come nurse complete capulet tybalt good love laurence know young heaven man men dear now paris night back servant speak nothing yet every lord word may bed father face like mine hear alone doth cell let poor heart part head breath dream married beauty light made marry sleep stay sampson soon flower eyes loves kinsman hither earth hold dream hast exeunt holy woe bid call wit lie life son act kill wilt none talk black thought escalus scene heavy years villian look sun dead stand prince thine wilt hour little two lies mantus blood thursday banished ther,100,NA,5.002066666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
